Municipio,NUTS I,NUTS II,NUTS III,mes,ano,nr_dormidas
Borba,Continente,Alentejo,Alentejo Central,Julho,2017,273
Borba,Continente,Alentejo,Alentejo Central,Agosto,2017,324
Borba,Continente,Alentejo,Alentejo Central,Setembro,2017,231
Borba,Continente,Alentejo,Alentejo Central,Outubro,2017,172
Borba,Continente,Alentejo,Alentejo Central,Novembro,2017,158
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2017,142
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2018,128
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2018,57
Borba,Continente,Alentejo,Alentejo Central,Março,2018,98
Borba,Continente,Alentejo,Alentejo Central,Abril,2018,109
Borba,Continente,Alentejo,Alentejo Central,Maio,2018,123
Borba,Continente,Alentejo,Alentejo Central,Junho,2018,155
Borba,Continente,Alentejo,Alentejo Central,Julho,2018,287
Borba,Continente,Alentejo,Alentejo Central,Agosto,2018,335
Borba,Continente,Alentejo,Alentejo Central,Setembro,2018,245
Borba,Continente,Alentejo,Alentejo Central,Outubro,2018,187
Borba,Continente,Alentejo,Alentejo Central,Novembro,2018,184
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2018,145
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2019,154
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2019,58
Borba,Continente,Alentejo,Alentejo Central,Março,2019,104
Borba,Continente,Alentejo,Alentejo Central,Abril,2019,141
Borba,Continente,Alentejo,Alentejo Central,Maio,2019,134
Borba,Continente,Alentejo,Alentejo Central,Junho,2019,179
Borba,Continente,Alentejo,Alentejo Central,Julho,2019,305
Borba,Continente,Alentejo,Alentejo Central,Agosto,2019,363
Borba,Continente,Alentejo,Alentejo Central,Setembro,2019,264
Borba,Continente,Alentejo,Alentejo Central,Outubro,2019,193
Borba,Continente,Alentejo,Alentejo Central,Novembro,2019,212
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2019,149
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2020,154
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2020,70
Borba,Continente,Alentejo,Alentejo Central,Março,2020,71
Borba,Continente,Alentejo,Alentejo Central,Julho,2020,645
Borba,Continente,Alentejo,Alentejo Central,Agosto,2020,647
Borba,Continente,Alentejo,Alentejo Central,Setembro,2020,179
Borba,Continente,Alentejo,Alentejo Central,Outubro,2020,103
Borba,Continente,Alentejo,Alentejo Central,Abril,2021,122
Borba,Continente,Alentejo,Alentejo Central,Junho,2021,129
Borba,Continente,Alentejo,Alentejo Central,Julho,2021,254
Borba,Continente,Alentejo,Alentejo Central,Agosto,2021,366
Borba,Continente,Alentejo,Alentejo Central,Setembro,2021,250
Borba,Continente,Alentejo,Alentejo Central,Outubro,2021,277
Borba,Continente,Alentejo,Alentejo Central,Novembro,2021,216
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2021,130
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2022,169
Borba,Continente,Alentejo,Alentejo Central,Março,2022,57
Borba,Continente,Alentejo,Alentejo Central,Abril,2022,95
Borba,Continente,Alentejo,Alentejo Central,Maio,2022,125
Borba,Continente,Alentejo,Alentejo Central,Junho,2022,172
Borba,Continente,Alentejo,Alentejo Central,Agosto,2022,318
Borba,Continente,Alentejo,Alentejo Central,Setembro,2022,361
Borba,Continente,Alentejo,Alentejo Central,Outubro,2022,297
Borba,Continente,Alentejo,Alentejo Central,Novembro,2022,343
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2022,243
Borba,Continente,Alentejo,Alentejo Central,Março,2023,141
Borba,Continente,Alentejo,Alentejo Central,Abril,2023,114
Borba,Continente,Alentejo,Alentejo Central,Maio,2023,181
Borba,Continente,Alentejo,Alentejo Central,Junho,2023,168
Borba,Continente,Alentejo,Alentejo Central,Julho,2023,253
Borba,Continente,Alentejo,Alentejo Central,Agosto,2023,189
Borba,Continente,Alentejo,Alentejo Central,Setembro,2023,261
Borba,Continente,Alentejo,Alentejo Central,Outubro,2023,258
Borba,Continente,Alentejo,Alentejo Central,Novembro,2023,187
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2023,174
Borba,Continente,Alentejo,Alentejo Central,Abril,2024,111
Borba,Continente,Alentejo,Alentejo Central,Maio,2024,102
Borba,Continente,Alentejo,Alentejo Central,Junho,2024,233
Borba,Continente,Alentejo,Alentejo Central,Julho,2024,393
Borba,Continente,Alentejo,Alentejo Central,Agosto,2024,641
Borba,Continente,Alentejo,Alentejo Central,Setembro,2024,338
Borba,Continente,Alentejo,Alentejo Central,Outubro,2024,172
Estremoz,Continente,Alentejo,Alentejo Central,Janeiro,2014,1049
Estremoz,Continente,Alentejo,Alentejo Central,Fevereiro,2014,1170
Estremoz,Continente,Alentejo,Alentejo Central,Março,2014,1897
Estremoz,Continente,Alentejo,Alentejo Central,Abril,2014,2992
Estremoz,Continente,Alentejo,Alentejo Central,Maio,2014,2896
Estremoz,Continente,Alentejo,Alentejo Central,Junho,2014,2510
Estremoz,Continente,Alentejo,Alentejo Central,Julho,2014,2759
Estremoz,Continente,Alentejo,Alentejo Central,Agosto,2014,5044
Estremoz,Continente,Alentejo,Alentejo Central,Setembro,2014,3352
Estremoz,Continente,Alentejo,Alentejo Central,Outubro,2014,2737
Estremoz,Continente,Alentejo,Alentejo Central,Novembro,2014,1874
Estremoz,Continente,Alentejo,Alentejo Central,Dezembro,2014,1739
Estremoz,Continente,Alentejo,Alentejo Central,Janeiro,2015,1263
Estremoz,Continente,Alentejo,Alentejo Central,Fevereiro,2015,1535
Estremoz,Continente,Alentejo,Alentejo Central,Março,2015,2145
Estremoz,Continente,Alentejo,Alentejo Central,Abril,2015,2874
Estremoz,Continente,Alentejo,Alentejo Central,Maio,2015,3352
Estremoz,Continente,Alentejo,Alentejo Central,Junho,2015,2974
Estremoz,Continente,Alentejo,Alentejo Central,Julho,2015,3391
Estremoz,Continente,Alentejo,Alentejo Central,Agosto,2015,5943
Estremoz,Continente,Alentejo,Alentejo Central,Setembro,2015,3896
Estremoz,Continente,Alentejo,Alentejo Central,Outubro,2015,3033
Estremoz,Continente,Alentejo,Alentejo Central,Novembro,2015,2170
Estremoz,Continente,Alentejo,Alentejo Central,Dezembro,2015,1994
Estremoz,Continente,Alentejo,Alentejo Central,Janeiro,2016,1376
Estremoz,Continente,Alentejo,Alentejo Central,Fevereiro,2016,1774
Estremoz,Continente,Alentejo,Alentejo Central,Março,2016,2660
Estremoz,Continente,Alentejo,Alentejo Central,Abril,2016,3036
Estremoz,Continente,Alentejo,Alentejo Central,Maio,2016,3278
Estremoz,Continente,Alentejo,Alentejo Central,Junho,2016,3512
