regiao_codigo,regiao_nome,dormidas,ano,origem
1851414,Rio Maior,31651.0,2024,Total
1851415,Salvaterra de Magos,4374.0,2024,Total
1851416,Santarém,119087.0,2024,Total
186,Alto Alentejo,478683.0,2024,Total
1861201,Alter do Chão,33070.0,2024,Total
1861202,Arronches,10952.0,2024,Total
1861203,Avis,19745.0,2024,Total
1861204,Campo Maior,4232.0,2024,Total
1861205,Castelo de Vide,44352.0,2024,Total
1861206,Crato,13748.0,2024,Total
1861207,Elvas,138891.0,2024,Total
1861208,Fronteira,5528.0,2024,Total
1861209,Gavião,7155.0,2024,Total
1861210,Marvão,38414.0,2024,Total
1861211,Monforte,8665.0,2024,Total
1861212,Nisa,24107.0,2024,Total
1861213,Ponte de Sor,77240.0,2024,Total
1861214,Portalegre,48507.0,2024,Total
1861215,Sousel,4077.0,2024,Total
187,Alentejo Central,1064856.0,2024,Total
1870701,Alandroal,18330.0,2024,Total
1870702,Arraiolos,27766.0,2024,Total
1870703,Borba,2497.0,2024,Total
1870704,Estremoz,73063.0,2024,Total
1870705,Évora,709328.0,2024,Total
1870706,Montemor-o-Novo,50452.0,2024,Total
1870707,Mora,5915.0,2024,Total
1870708,Mourão,15879.0,2024,Total
1870709,Portel,7215.0,2024,Total
1870710,Redondo,16379.0,2024,Total
1870711,Reguengos de Monsaraz,79850.0,2024,Total
1870712,Vendas Novas,7125.0,2024,Total
1870713,Viana do Alentejo,3890.0,2024,Total
1870714,Vila Viçosa,47167.0,2024,Total
15,Algarve,20738937.0,2024,Total
150,Algarve,20738937.0,2024,Total
1500801,Albufeira,7705992.0,2024,Total
1500802,Alcoutim,14455.0,2024,Total
1500803,Aljezur,173979.0,2024,Total
1500804,Castro Marim,150508.0,2024,Total
1500805,Faro,720281.0,2024,Total
1500806,Lagoa,1745562.0,2024,Total
1500807,Lagos,1684312.0,2024,Total
1500808,Loulé,2917814.0,2024,Total
1500809,Monchique,108048.0,2024,Total
1500810,Olhão,264668.0,2024,Total
1500811,Portimão,2709885.0,2024,Total
1500812,São Brás de Alportel,15092.0,2024,Total
1500813,Silves,282037.0,2024,Total
